dc_gain,dc_valid,error,name,nyquist_gain,peaking_boost,power,process,pvt_pass,status,temperature_c,vdd
9.96010971665907,True,,FF_1.00V_0C,15.642846819212131,5.682737102553061,0.001368733970517842,FF,True,pass,0.0,1.2
9.57180518355764,True,,FF_1.00V_62.5C,14.958146822055019,5.386341638497379,0.001368733970517842,FF,True,pass,62.5,1.2
9.101499808771562,True,,FF_1.00V_125C,14.156009764724109,5.054509955952547,0.001368733970517842,FF,True,pass,125.0,1.2
9.994563770498027,True,,FF_1.05V_0C,15.694444743817424,5.699880973319397,0.0014371706690437342,FF,True,pass,0.0,1.26
9.610502998724368,True,,FF_1.05V_62.5C,15.013068256893709,5.402565258169341,0.0014371706690437342,FF,True,pass,62.5,1.26
9.146740498835431,True,,FF_1.05V_125C,14.217547072816377,5.070806573980946,0.0014371706690437342,FF,True,pass,125.0,1.26
9.977670005816185,True,,SF_0.95V_0C,15.666027025694696,5.688357019878511,0.00130029727199195,SF,True,pass,0.0,1.14
9.578929227463043,True,,SF_0.95V_62.5C,14.962139558497732,5.3832103310346895,0.00130029727199195,SF,True,pass,62.5,1.14
9.099609876164257,True,,SF_0.95V_125C,14.143567245158708,5.043957368994452,0.00130029727199195,SF,True,pass,125.0,1.14
10.011506039000931,True,,SF_1.00V_0C,15.717636836731227,5.706130797730296,0.001368733970517842,SF,True,pass,0.0,1.2
9.616533291048711,True,,SF_1.00V_62.5C,15.016440021323929,5.399906730275218,0.001368733970517842,SF,True,pass,62.5,1.2
9.1427990644943,True,,SF_1.00V_125C,14.203077457477416,5.0602783929831165,0.001368733970517842,SF,True,pass,125.0,1.2
10.041766923076946,True,,SF_1.05V_0C,15.763601635484338,5.721834712407393,0.0014371706690437342,SF,True,pass,0.0,1.26
9.649743555867133,True,,SF_1.05V_62.5C,15.063957747327763,5.41421419146063,0.0014371706690437342,SF,True,pass,62.5,1.26
9.180342527360834,True,,SF_1.05V_125C,14.254140120442694,5.07379759308186,0.0014371706690437342,SF,True,pass,125.0,1.26
9.927208316807649,True,,FS_0.95V_0C,15.592660110394176,5.665451793586527,0.00130029727199195,FS,True,pass,0.0,1.14
9.533687656047817,True,,FS_0.95V_62.5C,14.901819974725548,5.3681323186777306,0.00130029727199195,FS,True,pass,62.5,1.14
9.056634424596774,True,,FS_0.95V_125C,14.091609967889065,5.0349755432922905,0.00130029727199195,FS,True,pass,125.0,1.14
9.964220483207246,True,,FS_1.00V_0C,15.648394216211654,5.684173733004409,0.001368733970517842,FS,True,pass,0.0,1.2
9.5756133551641,True,,FS_1.00V_62.5C,14.961833343246083,5.386219988081983,0.001368733970517842,FS,True,pass,62.5,1.2
9.106128650206376,True,,FS_1.00V_125C,14.159648817481052,5.053520167274677,0.001368733970517842,FS,True,pass,125.0,1.2
9.996899777309702,True,,FS_1.05V_0C,15.697261019520035,5.700361242210333,0.0014371706690437342,FS,True,pass,0.0,1.26
9.612025346513725,True,,FS_1.05V_62.5C,15.01332878947617,5.401303442962444,0.0014371706690437342,FS,True,pass,62.5,1.26
9.148285633383308,True,,FS_1.05V_125C,14.216630571560136,5.068344938176828,0.0014371706690437342,FS,True,pass,125.0,1.26
